#Energy  Bin  Mean  Energy  Flux
#GeV  GeV  m      2sr      1s      1GeV      1
10.6          11.9  11.3  1.546e-1  0.005e-1   0.117      0.108e-1
11.9          13.4  12.6  1.065e-1  0.004e-1   0.072      0.055e-1
13.4          15.0  14.2  7.404e-2  0.026e-2   0.500      0.383e-2
15.0          16.9  15.9  5.073e-2  0.020e-2   0.344      0.261e-2
16.9          18.9  17.8  3.504e-2  0.015e-2   0.238      0.180e-2
18.9          21.2  20.0  2.457e-2  0.012e-2   0.174      0.136e-2
21.2          23.8  22.5  1.679e-2  0.009e-2   0.119      0.093e-2
23.8          26.7  25.2  1.159e-2  0.007e-2   0.082      0.066e-2
26.7          30.0  28.3  7.988e-3  0.037e-3   0.568      0.457e-3
30.0          33.7  31.7  5.411e-3  0.029e-3   0.354      0.287e-3
33.7          37.8  35.6  3.715e-3  0.023e-3   0.243      0.197e-3
37.8          42.4  39.9  2.620e-3  0.018e-3   0.163      0.139e-3
42.4          47.5  44.8  1.794e-3  0.014e-3   0.111      0.095e-3
47.5          53.3  50.3  1.261e-3  0.011e-3   0.075      0.067e-3
53.3          59.9  56.4  8.883e-4  0.087e-4   0.525      0.475e-4
59.9          67.2  63.3  6.129e-4  0.068e-4   0.338      0.328e-4
67.2          75.4  71.0  4.162e-4  0.053e-4   0.230      0.223e-4
75.4          84.6  79.7  3.009e-4  0.043e-4   0.158      0.166e-4
84.6          94.9  89.4  2.023e-4  0.033e-4   0.106      0.111e-4
94.9          106.4  100.4  1.45e-4  0.03e-4   0.07      0.08e-4
106.4          119.4  112.6  9.94e-5  0.21e-5   0.51      0.57e-5
119.4          134.0  126.3  7.00e-5  0.16e-5   0.34      0.41e-5
134.0          150.4  141.8  4.99e-5  0.13e-5   0.25      0.29e-5
150.4          168.7  159.1  3.57e-5  0.10e-5   0.17      0.21e-5
168.7          189.3  178.8  2.53e-5  0.08e-5   0.12      0.15e-5
189.3          212.4  200.1  1.72e-5  0.06e-5   0.08      0.10e-5
212.4          238.3  224.5  1.14e-5  0.05e-5   0.05      0.07e-5
238.3          267.4  252.4  8.01e-6  0.39e-6   0.39      0.46e-6
267.4          300.0  282.9  5.72e-6  0.31e-6   0.28      0.33e-6
300.0          336.6  317.6  3.93e-6  0.24e-6   0.20      0.22e-6
336.6          377.7  355.9  2.80e-6  0.19e-6   0.15      0.15e-6
377.7          423.8  400.3  1.90e-6  0.15e-6   0.11      0.10e-6
423.8          475.5  446.7  1.14e-6  0.11e-6   0.06      0.06e-6
475.5          598.6  530.3  7.18e-7  0.56e-7   0.40      0.48e-7
598.6          753.6  665.1  3.13e-7  0.33e-7   0.28      0.18e-7
753.6          948.7  848.8  1.84e-7  0.23e-7   0.16      0.16e-7
948.7          1194.3  1065.4  9.39e-8  1.46e-8   0.92      1.04e-8
1194.3          1892.9  1489.2  2.33e-8  0.44e-8   0.36      0.34e-8
1892.9          3000.0  2432.8  4.51e-9  1.60e-9   0.89      1.28e-9
